assertion_id	source_record	source_record_sha256	assertion_type	source_position	assertion_sha256	resolution_status	review_reason	review_evidence
MIM.review:0604ab86186ea922c3f22ccf3c9681b3321964ec98b589d9b15e211b7a0d385c	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	35ffa2d129a9e674a6a9fe7a08665e15e18a7c4c570a5ce30105802e3a7df048	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:15ad0e227d63328ed68131f8a9c98ca85b02d64c76b7bca29c84559f1deedc88	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	35ffa2d129a9e674a6a9fe7a08665e15e18a7c4c570a5ce30105802e3a7df048	nutritional_roles	2	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:36655c6098c954ba2e238d39f4e80e140519a04ac86aa6b0b3254af4fe1ee803	data/ingredients/mapped/2-butanolCO2.yaml	fadd8fc30be85b58521508b7521413612db100a3888766d8bb9d7f011bbfa351	component	1	43462e383028dcdf109862741253368d3ead626fa0ef1a4188e652ab52a57f8b	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:16ea7d120cf57bae250a544f716616785ac30b3cf4c31c39461e91419f1b789f	data/ingredients/mapped/2-butanolCO2.yaml	fadd8fc30be85b58521508b7521413612db100a3888766d8bb9d7f011bbfa351	component	2	e751ead6b4ea7229780f87f6fc4cca568fba337a054c01bde4cb5e44064e54e8	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:a015464c5cd0a41f34a6cfefabaf1ac77509e50aa3695bcd11f7cb8e31e18acc	data/ingredients/mapped/2-fucosyllactose.yaml	bde00bf7772e8836de3a18247e7ba65b7a04c6242c5b59e16e35c97890ebb87a	nutritional_roles	1	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:6cc76be8e8b21e31b7984c3846d7091962fb808363f6e5fe3709131779153cea	data/ingredients/mapped/2-mercaptoethanesulfonate.yaml	e8f3c1d4d2fa4db30af58424d9f800054d41d1bf7d0531d0a53dad443f276bae	nutritional_roles	1	07fd9f835e66b4f81882afb1022dcb0778d019c988fa2746463e7ed335192343	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:7410782f3081b7976f8e642374d4eb6ea2f6e1d7599add94b5ab02607d74110c	data/ingredients/mapped/2-mercaptoethanol.yaml	b32f24ce80193042971850fb87c4b1c8836eb8a72b09e9e1bd48ad0cfcfe84bd	physicochemical_roles	1	1ebc231952c7b26c84f5098a04ce280ae03d92c47ec1430a34eb139b88a5b9a2	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:8c511f818575e543c9dc428452736455e99158328f4496bdf9f60fc8f7fe6ce8	data/ingredients/mapped/2-propanolCO2.yaml	52db62c6fe5e368ab51b4c9ea0ff6fa0053ab937dee49cf9965eedb3ee8e1dbe	component	1	ab9e1222c07643978c968b643b1579f1cd83ea9b87eb840cb2580f78094190d0	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:61f6599d4e4ab3e6539870f202875f94bf9f80af41c711736f033c4a52b20be8	data/ingredients/mapped/2-propanolCO2.yaml	52db62c6fe5e368ab51b4c9ea0ff6fa0053ab937dee49cf9965eedb3ee8e1dbe	component	2	6e3e65f4244cf9283460008845750e77e9c48701375d40d53dd590a9afc6fda9	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:1dc3a633f46ce75fe5dba64369980715204d6a979a3424c4ff9b07e02ad755ce	data/ingredients/mapped/22-Dipyridyl.yaml	af2ba12ce31a657f021bf003b3e8ca61851e2f458b38885b084b0df4b7af3fed	physicochemical_roles	1	6a341bc3251a64e58a46cdfa02fe2125b7ceb31fb3dd6c04b9ff4a4fc1046e33	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:e31234edfbae1bb37d89c964da24fb42663974f2c237b0db3ff87641f00506f3	data/ingredients/mapped/2244688-heptamethylnonane.yaml	d053593ecc2cd59052f7e8aad88c3f4e1d1b28817ad5dd8f5da3e80bf17f4aa1	nutritional_roles	1	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:56633646ffc4c4da6f566febb32ce3ddfe5a7a82170a479036f84cab41451cf1	data/ingredients/mapped/23-butanediol.yaml	476b395efe0252e40793bfb62b9ac213f6892b7fe7957b2dbba6359cccd88b08	nutritional_roles	1	29b5d370304d257b691a42ffc40b3f31176229b110bed3d04ff0d6ec9d1f1b19	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:a9f36180e5901a376f36c6312b805f71abea9d98d4a5770f14df24d6030330bd	data/ingredients/mapped/23-dihydroxybenzoic_Acid.yaml	a9833424856648828345709109550cf6be56264e00acd352a19ad620dc29a401	nutritional_roles	1	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:56f41a12aa2d5fd493c22073bfcae16ff3b2a6484d7c10f0d1f5bd91e85d3f18	data/ingredients/mapped/235-Triphenyltetrazolium_Chloride.yaml	e2e49590efc40f1fc35fac9bac181d270ac48fc91c3dc3bdebde72904eebc7ae	physicochemical_roles	1	0259562ca6ce2cbda3070b3f0bf0da8b647c21331f7bf54eda3bebe3bebe9688	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:19ea0b04b130c3adc75b64b0c2a52093dc9ff2f7d056f617ec0e5ac70d12914e	data/ingredients/mapped/3-Chloro-L-tyrosine.yaml	9068e77f796c9714234627754561ef54188cdbd0d80fe3ef5d964093e1da6dc3	nutritional_roles	1	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:47ee9313688eb60399885c20becf238e39cbe84a785ef4b5fc83df16c4e7595a	data/ingredients/mapped/3-Hydroxypropionate.yaml	b6ce46168d98421fcf455b1b60400abea3a18ca938ff084f174abf144d091f30	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:47a99a1623c84c4c7b59ced1a7e788cb277f8396b16a490a3d4674c8a338e224	data/ingredients/mapped/3-O-Methyl-D-glucopyranose.yaml	658f45ec9c7467128265ac1f7dcf83da9b7d57b6e07b4493704aaa896f6aa455	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:5369d75b1aa89dfffd426ddef391173dfddb055373f176b0bba55727b973d687	data/ingredients/mapped/3-O-methyl-glucose.yaml	94db4b3fd0beec97b1eca146749dfdd9e4d2b0512c51c99c9f24e154003952d1	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:7b93029b2231d9bb50dfbd4250950cfa9df8dbe4e96e6d8000436f1db6203f00	data/ingredients/mapped/3-_N-morpholinopropanesulfonic_Acid.yaml	4a35a2accdf85d154e95876ebda72d163d4ba454623dc1be67ff5c81290d0b95	physicochemical_roles	1	d0f7bf1a8e48a5225ecce3623be4ec62352e6ad81a2941d49be8e1e3a3d0ddb9	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:6f21ec62f747457187b78788e2481a8c7e85f4a711a9b744bbbcfff525849b21	data/ingredients/mapped/3-aminobutyric_Acid.yaml	e251b753d79dc0f3f45ccb1ffbb9a82fc61134d23c630d183a4616c93e4b72cb	nutritional_roles	1	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:5faa4cc7597df4765c33056becfa9c0a4ce7f67d586d78824353c335fa5388d9	data/ingredients/mapped/3-fucosyllactose.yaml	42b31a88125f2631aa30c20666307b40a494373b1a747d36627a6278dd383f87	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:44ac4a44732ed46c1dc3ce5deaeeeb87ffa959e9c546705362e39ce59e9c4e2d	data/ingredients/mapped/3-hydroxybenzoic_Acid.yaml	f6160a3478f4c9f76b8d7a83a84c2b65b0ad5d5c8cca1b82155e5e6d1fdb5ecf	nutritional_roles	1	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:480aacdb740cf0e654539717519fc1737441139cbe1f0172b3251c9d3c004112	data/ingredients/mapped/3-hydroxybutyric_Acid.yaml	ae88860da0aed468ee8bf9ab2751050a59459240efcac34d9c0a16dc0744dec2	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:36594ff3c190ef92b60c71ab058cff750166b9f7f2070d4aeaf575c77097c7cc	data/ingredients/mapped/3-sialyllactose_Sodium_Salt.yaml	790ac9da83e8e57aac81645c8e91a04392bba7a82523b80979af801e68ca84a0	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:96f845d8a9610696e436803d4bbdb2e24426941a5589b1f9d6ae0a558938bfe4	data/ingredients/mapped/4-Pyridoxic_Acid.yaml	869bee2538e8475c7993a2582fbd83adaec8087b22c56f4286908beaa74dd4b3	nutritional_roles	1	918bac91021e5325378db6c9197e2049db1e9666b75775490a91df6567ef66da	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:144100569231e045fd92ac1ac1e7ffa8fa7ee928393dd60a6ab58a999dac1902	data/ingredients/mapped/4-aminobenzoate.yaml	927670adb571f96eaccb4f2f0d7da5b633cdf4f68a75cbd3b3faab0df18430b8	nutritional_roles	1	fbd87a58eeee5c4abfa419f3c0484f31c23a06de9c808517085a4be44f73bb2e	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:4391bcae036dda9460e97df5c3bd77dfa85660579fe9a113945b39c113ffae93	data/ingredients/mapped/4-azido-L-phenylalanine.yaml	cacd5a77c0591dcc655e4b541d02bbc8377da1c68d30bee5224e2020678f7439	nutritional_roles	1	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:f53d77bd1ee5b622cc1eba38f5edeb7965ca0147c704b1ecc82fd2842fc5967a	data/ingredients/mapped/4-hydroxybenzoic_Acid.yaml	cae1ec3d296a45ead933f3b9ba692af141c9634d7e453c0f44d30e94f42a2beb	nutritional_roles	1	29b5d370304d257b691a42ffc40b3f31176229b110bed3d04ff0d6ec9d1f1b19	APPROVED	Explicit role-level source-scope review and archived reasoning apply to the exact unchanged record, assertion and position; not a fresh growth experiment.	reports/semantic_review_20260921/resolution/roles/inherited-role-review.json
MIM.review:8e0abc9ce0ebf972fd77842e959248f54b0d4151fcf33f1751ab186b89284212	data/ingredients/mapped/4-hydroxybutyric_Acid.yaml	6781a19b96e24d37da9475dddafb149c9462e37b0f8c397f598ca8a8d7f155f0	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:d5a2a287791bb9da3dadb416c6563fdfec61675559981c09fc55a0fb121c5562	data/ingredients/mapped/4-hydroxyphenyl_Acetic_Acid.yaml	8cfb1babc44f71177b516e9ba3c12927220e4f77fac5ff8f5f04fdb49e962622	nutritional_roles	1	e59eee7cf5387857dcf375c761bc4588088393fe88064c16b7be945209733418	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:9ed848fae0966ef03a155e355e8293841b64d0255a358c4054414064187006d1	data/ingredients/mapped/4_Carbon_Mix.yaml	c0d9b65b11631a4bebc1dda5d329df27eac2bc8f36c4c7897ab65110d174cdae	component	1	48881efb9db7473fd7ca70e10ee9d40665e649ae1ad2de9deacae55c9948a61c	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:45768a638f3abc14729c17c88fcd484d25cc1adc300488527e37650d7ffb3c16	data/ingredients/mapped/4_Carbon_Mix.yaml	c0d9b65b11631a4bebc1dda5d329df27eac2bc8f36c4c7897ab65110d174cdae	component	2	9eb4b807f338c1cdb040107a6f43b457b133beb219a8497b3ba408b4ecda34e3	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:869c326be3255da6bba4aa341ff9cc243b3a3e3bbf423bb2d69556dfaae1ab40	data/ingredients/mapped/4_Carbon_Mix.yaml	c0d9b65b11631a4bebc1dda5d329df27eac2bc8f36c4c7897ab65110d174cdae	component	3	b27a73ab65ffabf08297c9f0e29361dd3b8c0e52fff28c2d7ee79e07f362ed28	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:e4665874808a756f4f8da2e045b5f5fd995ac66eef75973b2bd42c50a2781245	data/ingredients/mapped/4_Carbon_Mix.yaml	c0d9b65b11631a4bebc1dda5d329df27eac2bc8f36c4c7897ab65110d174cdae	component	4	49d74656c090c292e5bf278490e83bf6c057a876b60cec94729b2b07ed17c1a2	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:a819516ad2b78031f217d002711ec516cd800d48785b691521b8ca89054011f2	data/ingredients/mapped/4_Carbon_Mix.yaml	c0d9b65b11631a4bebc1dda5d329df27eac2bc8f36c4c7897ab65110d174cdae	nutritional_roles	1	7ee002222fab6ee65446f74eb5c1e8e190325104b3a23af714e4b0ed010f5be4	APPROVED	Explicit role-level source-scope review and archived reasoning apply to the exact unchanged record, assertion and position; not a fresh growth experiment.	reports/semantic_review_20260921/resolution/roles/inherited-role-review.json
MIM.review:067482e114f4712113b686dc82a3a91cd10b3441bbcb4c0840867feddd3589e9	data/ingredients/mapped/5-Aminolevulinic_Acid.yaml	5db988cbc1862a142c35787afafa854afe37d2dbae5957a2dacf4ad694b23047	nutritional_roles	1	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:94d049dc557f7006d44257f9cbe6b190a6fdb29364d2bc04ac325c576db6ce9c	data/ingredients/mapped/5-Keto-D-Gluconic_Acid_Potassium_Salt.yaml	4715d7c9d7bb965f7f3db53cf64b2cfb1ac1a748dc0af3b38ca38ca5c888e42f	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:22381b8ecfb9b236e44ea2a3d0f942dda90752a0c307f39670865518db2c8ba6	data/ingredients/mapped/5-Keto-D-Gluconic_Acid_Potassium_Salt.yaml	4715d7c9d7bb965f7f3db53cf64b2cfb1ac1a748dc0af3b38ca38ca5c888e42f	nutritional_roles	2	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:c2fc429079937ecd2b7af75bebd5a4e47b1f10497305660561de59cf6c6030ab	data/ingredients/mapped/5-aminovaleric_Acid.yaml	c619f43c8d0bab3cf84ebb74359aa9d005b56e118ba3ef4639d3702b340d8df7	nutritional_roles	1	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:b95651cf25132eb801cf5d048e67dae27e40da84e7e79f720fe3887b1edd3642	data/ingredients/mapped/6-O-Acetyl-D-glucose.yaml	38cdc303f8d0473f059bf3d62092132692d95f70c04a671908f1a589a1a3fa7c	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:96624b6c17671e1086551847308b2d90e4e45dee2292dc24d114023de5e709da	data/ingredients/mapped/6-O-Acetyl-D-glucose.yaml	38cdc303f8d0473f059bf3d62092132692d95f70c04a671908f1a589a1a3fa7c	nutritional_roles	2	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:6a33411f90f343a14e2b84cef605e6aff3b8c9d36a2b23eaf53b3ff9e3c9bfda	data/ingredients/mapped/6-O-sialyllactose_Sodium_Salt.yaml	252e3146582a0917fbc3827e3ef009885696d96a077b7f0ffdf48bd268cc598e	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:584ce51d915c28b6c02105423c1728e45bd1c3c34f84071241414acff232fcfe	data/ingredients/mapped/A-Cyclodextrin.yaml	b8b0cdff9ec1b79cb23d8b4b3ba2439530fe37513e956df099a896a3591d714d	nutritional_roles	1	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:083d44f4b769d984bbfdcee756c617bcea171b6e81482ff43d7d49e8cecc0b8e	data/ingredients/mapped/A-Ketoglutaric_Acid_Disodium_Salt_Hydrate.yaml	bc096f0393d86296abd52781a877b306d64b8830a026b73df84a27508e4c846c	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:7f7ef79e7e992ad5472934977722e1929f7c11f946bc530702b73b7c1b9a9b5b	data/ingredients/mapped/A-Ketoglutaric_Acid_Disodium_Salt_Hydrate.yaml	bc096f0393d86296abd52781a877b306d64b8830a026b73df84a27508e4c846c	nutritional_roles	2	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:f3ff9d586dcede285b71651c75fc838c070446f6d96d9a77fdc6e484df8de780	data/ingredients/mapped/ATCC_Wolfes_Mineral_Mix.yaml	d1a3c0cd0b18a8df04ba988240ea929afbff4c94b0bad76ea348c12c9129ebf4	component	1	89398fcd7b06e82c9b5da0cb0a1c93b706495c54a1e21c525cedc08c713d7ec4	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:21ec0f76773842753fb39de573573bfcf6ad263bd63dfe8edcb188fbfedf8dee	data/ingredients/mapped/ATCC_Wolfes_Mineral_Mix.yaml	d1a3c0cd0b18a8df04ba988240ea929afbff4c94b0bad76ea348c12c9129ebf4	component	10	cbbc86ee6a4910b2944da39dfb0c90a76c0da29c082f749026b47e9e567af472	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:d92507f682f7c28019395e5927d66e42bb1cf1ef4b40565b5907c066da45cfe3	data/ingredients/mapped/ATCC_Wolfes_Mineral_Mix.yaml	d1a3c0cd0b18a8df04ba988240ea929afbff4c94b0bad76ea348c12c9129ebf4	component	11	18d543b7a3ae8366be0b1e0d488a1749ba8120308e9b3fc46e95b921206ae71f	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:3fb638a7b5c4612e4235e99b6c9f5180820e57a401dbcf0cc36285ce7a53fd6e	data/ingredients/mapped/ATCC_Wolfes_Mineral_Mix.yaml	d1a3c0cd0b18a8df04ba988240ea929afbff4c94b0bad76ea348c12c9129ebf4	component	12	e4103eb58ffdba720202f467cafa20662670e24aba5ad5bc50909377553c60d6	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
MIM.review:f6f0aa20a787e687bc255005159deb5ff86d32dd0d898ad89c89099444efd022	data/ingredients/mapped/ATCC_Wolfes_Mineral_Mix.yaml	d1a3c0cd0b18a8df04ba988240ea929afbff4c94b0bad76ea348c12c9129ebf4	component	13	4a036893f513017fba1d84177e3ae346b58f09f6b3dce77ab0ac5c437c37e2dd	APPROVED	Existing positive review applies to byte-identical source record and assertion payload; not a fresh literature review.	reports/semantic_review_20260921/resolution/historical-review-evidence.json
